Tablet Name,Total Tablets,Length,Width,Area in cm2,Area per tablet,Round of Area per tablet
RozaGold 20,10,14.208,8.894,126.365952,12.6365952,12.64
Myoglad,10,13.029,8.033,104.661957,10.4661957,10.47
Cudce,10,13.206,8.518,112.488708,11.2488708,11.25
Cisbon-Plus,10,12.402,7.819,96.971238,9.6971238,9.7
Palamide-300,10,13.027,8.266,107.681182,10.7681182,10.77
Bun Pro,10,13.702,8.494,116.384788,11.6384788,11.64
Nuhenz,10,14.138,8.21,116.07298,11.607298,11.61
Cefubit-500,10,13.688,8.498,116.320624,11.6320624,11.63
NureWire,10,13.9,8.704,120.9856,12.09856,12.1
Shelcal 500,15,7.821,7.995,62.528895,4.168593,4.17
Tinni car,10,12.5,7.095,88.6875,8.86875,8.87
Com-D3,4,6.008,5.976,35.903808,8.975952,8.98
Calinta Max,10,8.414,6.618,55.683852,5.5683852,5.57
Meg LC,10,5.641,10.947,61.752027,6.1752027,6.18
Sodocel EC-1000,10,7.992,5.09,40.67928,4.067928,4.07
Trapic E,10,7.204,4.865,35.04746,3.504746,3.5
Nubrain-CT,10,8.513,13.469,114.661597,11.4661597,11.47
Pantocid-40,15,6.068,9.906,60.109608,4.0073072,4.01
Tolifast,10,4.141,9.863,40.842683,4.0842683,4.08
Hifenac,10,4.129,10.26,42.36354,4.236354,4.24
Topaz-25,15,4.231,6.973,29.502763,1.966850867,1.97
Cilistar,10,4.383,10.785,47.270655,4.7270655,4.73
Gabastone-300,10,3.804,8.819,33.547476,3.3547476,3.35
Celerab-DSR,10,11.895,6.884,81.88518,8.188518,8.19
Vitspar,10,4.444,10.529,46.790876,4.6790876,4.68
Supan-40,10,4.176,10.284,42.945984,4.2945984,4.29
Gemer 2,15,8.61,7.376,63.50736,4.233824,4.23
Clonotril-0.5,15,9.22,5.656,52.14832,3.476554667,3.48
Sompraz 20,15,10.221,6.306,64.453626,4.2969084,4.3
Topaz-50,15,6.964,4.296,29.917344,1.9944896,1.99
Brevipil 50,10,6.894,5.063,34.904322,3.4904322,3.49
Xenadom-500,10,8.014,5.173,41.456422,4.1456422,4.15
Oxetol 300,10,6.985,4.716,32.94126,3.294126,3.29
Aricep 5,10,8.713,3.473,30.260249,3.0260249,3.03
Ampanel 2,10,6.217,2.966,18.439622,1.8439622,1.84
Amicon-10,10,7.008,2.969,20.806752,2.0806752,2.08
Zeptol Cr 500,10,8.828,3.891,34.349748,3.4349748,3.43
NactRev,10,11.552,7.087,81.869024,8.1869024,8.19
Atorcyn-10,10,10.024,4.208,42.180992,4.2180992,4.22
Dytor-20,15,7.398,4.506,33.335388,2.2223592,2.22
Hifenac Spas,10,14.598,5.782,84.405636,8.4405636,8.44
Nexito Forte,10,9.606,4.206,40.402836,4.0402836,4.04
Betavert 24,10,11.799,5.008,59.089392,5.9089392,5.91
Gabinn-M100,10,8.981,4.003,35.950943,3.5950943,3.6
Pirapil-1200,10,13.043,7.975,104.017925,10.4017925,10.4
Cyncal-D3,15,9.288,8.092,75.158496,5.0105664,5.01
Evion LC,10,10.23,5.43,55.5489,5.55489,5.55
Monte-levo,10,10.087,4.27,43.07149,4.307149,4.31
Lamitor DT-50,15,9.527,5.776,55.027952,3.668530133,3.67
Betavert 16,15,10.522,6.513,68.529786,4.5686524,4.57
Gabastrong NT,10,15.221,9,136.989,13.6989,13.7
Supratel-20,10,10,4.19,41.9,4.19,4.19
Niftas ,14,11,6.5,71.5,5.107142857,5.11
Nerve Active,10,13.476,8.496,114.492096,11.4492096,11.45
Ecosprin gold 20,15,14.689,13.6,199.7704,13.31802667,13.32
Maxmala,10,9.239,15,138.585,13.8585,13.86
D-Venizep 100,10,13.352,5.876,78.456352,7.8456352,7.85
Cilny 10,15,10.232,6.719,68.748808,4.583253867,4.58
Ticabid,10,8.512,3.752,31.937024,3.1937024,3.19
Ecosprin-AV 150,15,14.333,12.508,179.277164,11.95181093,11.95
Nimodip,10,6.261,16.3,102.0543,10.20543,10.21
Maxgalin M75,15,14.523,12.616,183.222168,12.2148112,12.21
Benmethyl Plus,10,15.327,9.519,145.897713,14.5897713,14.59
Supan-DSR,10,6.903,11.475,79.211925,7.9211925,7.92
Stropil Plus,10,13.48,8.67,116.8716,11.68716,11.69
My Set-D,10,13.016,8,104.128,10.4128,10.41
Tendo Cool,10,11.485,6.903,79.280955,7.9280955,7.93
Rexipra Forte,15,10.23,6.706,68.60238,4.573492,4.57
Petril-MD 0.25,15,6.386,10.411,66.484646,4.432309733,4.43
Aztor 20,15,9.976,6.237,62.220312,4.1480208,4.15
CTD-12.5,15,5.4,8.593,46.4022,3.09348,3.09
Gabanix Plus,10,9.207,4,36.828,3.6828,3.68
Calinta Farc,15,12.203,7.276,88.789028,5.919268533,5.92
Bisoheart-2.5,10,4.107,10.218,41.965326,4.1965326,4.2
Bisoheart-5,10,4.098,10.213,41.852874,4.1852874,4.19
Eliquis 5mg,10,4.5,12.033,54.1485,5.41485,5.41
Lizoforce-600,10,7.38,23.003,169.76214,16.976214,16.98
LCD 125,10,13.218,6.048,79.942464,7.9942464,7.99
Rozalet 20,10,6.958,15.6,108.5448,10.85448,10.85
Olmezest H40,10,4.789,12.047,57.693083,5.7693083,5.77
Maxmala Forte,10,15.222,9.2,140.0424,14.00424,14
Pantocid DSR,15,14.426,12.284,177.208984,11.81393227,11.81
Pulmoclear,15,15.303,14.714,225.168342,15.0112228,15.01
Dolo-650,15,9.104,7.63,67.10344,4.4735,4.47
